# English confusion sets, mostly homophones
# Original source: After the Deadline's data/rules/homophonedb.txt
# URL: http://openatd.wordpress.com/ or https://openatd.svn.wordpress.org/atd-server/data/rules/homophonedb.txt
# License: GNU Lesser General Public License as published by the Free Software Foundation; either
#          version 2.1 of the License, or (at your option) any later version.
#
# Line format:
# <word1>|<description1>; <word2>|<description2>
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#     and are based on Wikipedia, Tatoeba, and Enron data, usually with 1000 random 
#     sentences (if that many sentence are available for that pair). The number after recall
#     is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
able; bale
dosed|treated with some kind of application;dozed|slept lightly
do; to
dragged|pulled; drug|substance used as a medicine
dual|double, two-fold;duel|a prearranged fight
ear; eat
earn|gain, make;urn|a vase
earns|3rd person of 'earn' (gain); urns|plural of 'urn' (vase)
ears; eats
either; ether|a substance/medium
elicit|call forth emotions;illicit|unlawful
ellipses|plural; ellipsis|singular
elude|escape, physically or mentally;illude|dilude, fool
em|1/6 inch;mi|nautical mile
eminent|standing above others;imminent|close in time
emit|give out;omit|exclude
emits|give out; omits|exclude
emitting|giving out;omitting|excluding
emphases|plural; emphasis|singular
endemic|present in a particular locality;epidemic|widespread outbreak
ensured|guarantee, assured;insured|covered by insurance
entomology|study of insects;etymology|a history of a word
envelop|enwrap, enclose; envelope|flat container for a letter
envelopes|flat containers for a letter;envelops|enwraps, encloses
epic|epic poem, heroic, larger-than-life;epoch|a period of time
epics|epic poem;epochs|periods of time
epitaph|inscription on a tombstone;epithet|descriptive word or phrase
ere|before (archaic); heir|a person to inherit the estate of another
exact|accurate;extract|pull out
except|with the exception of; expect|regard something as likely
excepts|take exception to; expects|regard something as likely
existing; exiting
expert; export
extend|verb; extent|noun
fain|having made preparations;feign|pretend
fair|noun: trade fair, adj: just;fare|money paid for transportation
fairs;fares
fairy|a small being with magical powers;ferry|ferryboat
farther|more distant; father|male parent, dad
fast; fats
fazed|unsettled, bothered;phased|arrange in phases
feat|effort;feet|plural of 'foot'
fee; feel
feels; fees
fee; free
feet|plural;foot|singular
ferrate|inorganic anion;ferret|a mammal similar to a weasel
feted|celebrated;fetid|foul, smelly
field; filled
fill; full
fills|makes full;fils|fractional monetary unit
find; fine
finds|third person of 'find';fines|money penalties
fir; for
fir; fur
firs; furs
first; fist
fiscal|related to financial matters;physical|related to physics
five; give
fives; gives
flea|insect;flee|run away quickly
fleas|insect; flees|run away quickly
flecks|small fragment;flex|flex a muscle
flew|past of 'fly';flu|influenza
flocks|move as a crowd;phlox|a flower
flour|powder made by grinding cereal grains;flower|part of a plant
foe; for
foreword|preface;forward|directed toward the front
form;from
for|preposition as in 'I have something for you'; four|the number '4'
forth;fourth|in the fourth place
foul|violation of rule in sports;fowl|a bird
fraud|intentional deception; fraught|marked by distress
frays|rubs, scratches;phrase|sequence of words
freeze|turn to ice; frieze|an architectural ornament
gaited;gated|surrounded by a gate
gait|pace;gate|barrier in a fence
geese|plural; goose|singular
gild|club, guild;gilled|provided with gills
gnawed|bite or chew on with the teeth;nod|nodding the head
gnu|large African antelope;knew|past of 'know'
god; good
gods; goods
gored|wounded by piercing with a sharp object;gourd|bottle
grade|course, class;grayed|made gray
graft|transplant, bribery;graphed|plotted upon a graph
grays|colors;graze|a superficial abrasion
guessed|past of 'guess';guest|invited person
guise|pretense;guys|informal for 'men'
had|past of 'have'; hat|head covering
hail|a form of solid precipitation;hale|force, squeeze
hair|grows from the skin of mammals;hare|animals similar to rabbits
hairs|plural of 'hair';hares|rabbits
half;have
half|noun/adjective; halve|verb
halves|one of two equal parts (plural);haves|rich persons
heal|cure;heel|bottom of a shoe or boot
heard|past of 'hear';herd|group of e.g. cattle
hear; heart
hears; hearts
hear|perceive with the ears;here|this place
heroin|drug;heroine|female hero
he; the
hew|make or shape as with an axe;hue|the quality of a color
hews|make or shape as with an axe; hues|the quality of a color
hide|conceal;hied|moved hurridly
higher|comparative of 'high'; hire|employ
him|personal pronoun;hymn|anthem
hoard|save up as for future use; horde|a vast multitude
hoping; hopping
hostel|inexpensive hotel;hostile|unfriendly
hostels|inexpensive hotel; hostiles|enemy's troops
hours|period of time;ours|belonging to us
